name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
chennai,2023-01-01,31,23,26.3,35.1,23,27.8,22.3,79.5,0,0,0,0,,18.7,18.4,78.5,1015.2,37.6,4.8,245.8,21.2,9,10,2023-01-01 6:31:12,2023-01-01 17:53:20,0.3,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,43278099999"
chennai,2023-01-02,31,23.2,26.7,34.6,23.2,28.1,22.1,76.7,0,0,0,0,,18,16.6,92.6,1015,47.7,5.2,242.4,20.9,9,10,2023-01-02 6:31:35,2023-01-02 17:53:54,0.34,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-03,29.9,23.4,27.3,34.3,23.4,29.2,22.5,75.7,0,0,0,0,,24.1,19.5,57.9,1000,49.7,5,236.1,20.5,9,10,2023-01-03 6:31:57,2023-01-03 17:54:28,0.37,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-04,30.5,24.9,27.3,34.3,24.9,29,22.2,73.9,0,0,0,0,,29.5,19.6,62.4,1013.9,53.1,4.6,244.2,21.1,9,10,2023-01-04 6:32:18,2023-01-04 17:55:02,0.41,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-05,31,25.8,27.8,34.6,25.8,29.7,21.8,70.3,0,0,0,0,,33.5,26,66,1012.9,50.4,5.3,244.3,21.1,9,10,2023-01-05 6:32:38,2023-01-05 17:55:36,0.44,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-06,29.5,25.9,27.6,33.7,25.9,30.1,22.6,74.2,0,0,0,0,,33.1,31,58.5,1015.3,64.8,4.7,242.4,21,8,10,2023-01-06 6:32:58,2023-01-06 17:56:10,0.48,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-07,29.1,25,27.2,32.9,25,29.2,22.6,76.4,0.582,100,8.33,0,,28.4,28.1,51,1014.7,63.5,4.2,233.3,20.2,9,10,2023-01-07 6:33:16,2023-01-07 17:56:44,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,1,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-08,28.3,24.1,26.2,31.7,24.1,27.1,21.7,76.3,0,0,0,0,,24.5,27.4,73.2,1014.9,61.1,3.5,223.6,19.2,8,10,2023-01-08 6:33:34,2023-01-08 17:57:18,0.54,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-09,28.8,21.6,25.3,30,21.6,25.7,18.9,68.6,0,0,0,0,,25.2,24.5,75,1015.2,43.8,5.1,255,22,9,10,2023-01-09 6:33:50,2023-01-09 17:57:52,0.58,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
chennai,2023-01-10,28.6,22.9,25.7,30.3,22.9,26.3,19.8,70.2,0,0,0,0,,24.1,28.1,64.9,1014.9,47.5,5,237.2,20.6,9,10,2023-01-10 6:34:06,2023-01-10 17:58:26,0.61,Partially cloudy,Partly cloudy throughout the day.,0,"VOMM,43279099999,AUCE,43278099999"
